,date,ConfirmedCases,DailyCases,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation,Population
34068,2020-02-01,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
37410,2020-02-02,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
40752,2020-02-03,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
44094,2020-02-04,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
47436,2020-02-05,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
50778,2020-02-06,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
54120,2020-02-07,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
57462,2020-02-08,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
60804,2020-02-09,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
64146,2020-02-10,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
67488,2020-02-11,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
70830,2020-02-12,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
74172,2020-02-13,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
77514,2020-02-14,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
80856,2020-02-15,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
84198,2020-02-16,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
87540,2020-02-17,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
90882,2020-02-18,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
94224,2020-02-19,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
97566,2020-02-20,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
100908,2020-02-21,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
104250,2020-02-22,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
107592,2020-02-23,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
110934,2020-02-24,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
114276,2020-02-25,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
117618,2020-02-26,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
120960,2020-02-27,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
124302,2020-02-28,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
127644,2020-02-29,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
130986,2020-03-01,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,932877
