,Date,ConfirmedCases,DailyCases
34068,2020-02-01,0,0.0
37410,2020-02-02,0,0.0
40752,2020-02-03,0,0.0
44094,2020-02-04,0,0.0
47436,2020-02-05,0,0.0
50778,2020-02-06,0,0.0
54120,2020-02-07,0,0.0
57462,2020-02-08,0,0.0
60804,2020-02-09,0,0.0
64146,2020-02-10,0,0.0
67488,2020-02-11,0,0.0
70830,2020-02-12,0,0.0
74172,2020-02-13,0,0.0
77514,2020-02-14,0,0.0
80856,2020-02-15,0,0.0
84198,2020-02-16,0,0.0
87540,2020-02-17,0,0.0
90882,2020-02-18,0,0.0
94224,2020-02-19,0,0.0
97566,2020-02-20,0,0.0
100908,2020-02-21,0,0.0
104250,2020-02-22,0,0.0
107592,2020-02-23,0,0.0
110934,2020-02-24,0,0.0
114276,2020-02-25,0,0.0
117618,2020-02-26,0,0.0
120960,2020-02-27,0,0.0
124302,2020-02-28,0,0.0
127644,2020-02-29,0,0.0
130986,2020-03-01,0,0.0
134328,2020-03-02,0,0.0
137670,2020-03-03,0,0.0
141012,2020-03-04,0,0.0
144354,2020-03-05,0,0.0
147696,2020-03-06,0,0.0
151038,2020-03-07,0,0.0
154380,2020-03-08,0,0.0
157722,2020-03-09,0,0.0
161064,2020-03-10,0,0.0
164406,2020-03-11,0,0.0
167748,2020-03-12,0,0.0
171090,2020-03-13,0,0.0
174432,2020-03-14,1,1.0
177774,2020-03-15,1,0.0
181116,2020-03-16,1,0.0
184458,2020-03-17,26,25.0
187800,2020-03-18,45,19.0
191142,2020-03-19,54,9.0
194484,2020-03-20,54,0.0
197826,2020-03-21,65,11.0
201168,2020-03-22,79,14.0
204510,2020-03-23,95,16.0
207852,2020-03-24,103,8.0
211194,2020-03-25,131,28.0
214536,2020-03-26,131,0.0
217878,2020-03-27,199,68.0
221220,2020-03-28,202,3.0
224562,2020-03-29,274,72.0
227904,2020-03-30,320,46.0
231246,2020-03-31,356,36.0
234588,2020-04-01,392,36.0
237930,2020-04-02,448,56.0
241272,2020-04-03,500,52.0
244614,2020-04-04,590,90.0
247956,2020-04-05,656,66.0
251298,2020-04-06,715,59.0
254640,2020-04-07,795,80.0
257982,2020-04-08,875,80.0
261324,2020-04-09,943,68.0
264666,2020-04-10,1008,65.0
268008,2020-04-11,1048,40.0
271350,2020-04-12,1162,114.0
274692,2020-04-13,1223,61.0
278034,2020-04-14,1312,89.0
281376,2020-04-15,1386,74.0
284718,2020-04-16,1463,77.0
288060,2020-04-17,1560,97.0
291402,2020-04-18,1642,82.0
294744,2020-04-19,1695,53.0
298086,2020-04-20,1761,66.0
301428,2020-04-21,1864,103.0
304770,2020-04-22,1947,83.0
308112,2020-04-23,2047,100.0
311454,2020-04-24,2219,172.0
314796,2020-04-25,2311,92.0
318138,2020-04-26,2443,132.0
321480,2020-04-27,2628,185.0
324822,2020-04-28,2736,108.0
328164,2020-04-29,2870,134.0
331506,2020-04-30,3081,211.0
334848,2020-05-01,3256,175.0
338190,2020-05-02,3432,176.0
341532,2020-05-03,3611,179.0
344874,2020-05-04,3803,192.0
348216,2020-05-05,3918,115.0
351558,2020-05-06,4056,138.0
354900,2020-05-07,4213,157.0
358242,2020-05-08,4374,161.0
361584,2020-05-09,4493,119.0
364926,2020-05-10,4603,110.0
368268,2020-05-11,4745,142.0
371610,2020-05-12,5121,376.0
374952,2020-05-13,5244,123.0
378294,2020-05-14,5453,209.0
381636,2020-05-15,5634,181.0
384978,2020-05-16,5780,146.0
388320,2020-05-17,5904,124.0
391662,2020-05-18,6076,172.0
395004,2020-05-19,6171,95.0
398346,2020-05-20,6308,137.0
401688,2020-05-21,6471,163.0
405030,2020-05-22,6744,273.0
408372,2020-05-23,6891,147.0
411714,2020-05-24,7060,169.0
415056,2020-05-25,7207,147.0
418398,2020-05-26,7290,83.0
421740,2020-05-27,7350,60.0
425082,2020-05-28,7460,110.0
428424,2020-05-29,7543,83.0
431766,2020-05-30,7620,77.0
435108,2020-05-31,7707,87.0
438450,2020-06-01,7765,58.0
441792,2020-06-02,7818,53.0
445134,2020-06-03,7891,73.0
448476,2020-06-04,7939,48.0
451818,2020-06-05,7997,58.0
455160,2020-06-06,8046,49.0
458502,2020-06-07,8111,65.0
461844,2020-06-08,8157,46.0
465186,2020-06-09,8215,58.0
468528,2020-06-10,8255,40.0
471870,2020-06-11,8311,56.0
475212,2020-06-12,8355,44.0
478554,2020-06-13,8389,34.0
481896,2020-06-14,8434,45.0
485238,2020-06-15,8465,31.0
488580,2020-06-16,8495,30.0
491922,2020-06-17,8546,51.0
495264,2020-06-18,8574,28.0
498606,2020-06-19,8609,35.0
501948,2020-06-20,8646,37.0
505290,2020-06-21,8682,36.0
508632,2020-06-22,8715,33.0
511974,2020-06-23,8736,21.0
515316,2020-06-24,8780,44.0
518658,2020-06-25,8825,45.0
522000,2020-06-26,8879,54.0
525342,2020-06-27,8919,40.0
528684,2020-06-28,8951,32.0
532026,2020-06-29,8993,42.0
535368,2020-06-30,9032,39.0
538710,2020-07-01,9083,51.0
542052,2020-07-02,9145,62.0
545394,2020-07-03,9192,47.0
548736,2020-07-04,9267,75.0
552078,2020-07-05,9311,44.0
555420,2020-07-06,9364,53.0
558762,2020-07-07,9392,28.0
562104,2020-07-08,9454,62.0
565446,2020-07-09,9502,48.0
568788,2020-07-10,9571,69.0
572130,2020-07-11,9641,70.0
575472,2020-07-12,9719,78.0
578814,2020-07-13,9794,75.0
582156,2020-07-14,9810,16.0
585498,2020-07-15,9867,57.0
588840,2020-07-16,9917,50.0
592182,2020-07-17,10013,96.0
595524,2020-07-18,10107,94.0
598866,2020-07-19,10196,89.0
602208,2020-07-20,10317,121.0
605550,2020-07-21,10414,97.0
608892,2020-07-22,10531,117.0
612234,2020-07-23,10627,96.0
615576,2020-07-24,10701,74.0
618918,2020-07-25,10771,70.0
622260,2020-07-26,10875,104.0
625602,2020-07-27,10953,78.0
628944,2020-07-28,11005,52.0
632286,2020-07-29,11084,79.0
635628,2020-07-30,11177,93.0
638970,2020-07-31,11267,90.0
642312,2020-08-01,11380,113.0
645654,2020-08-02,11470,90.0
648996,2020-08-03,11558,88.0
652338,2020-08-04,11689,131.0
655680,2020-08-05,11804,115.0
659022,2020-08-06,11926,122.0
662364,2020-08-07,12021,95.0
665706,2020-08-08,12155,134.0
669048,2020-08-09,12233,78.0
672390,2020-08-10,12312,79.0
675732,2020-08-11,12427,115.0
679074,2020-08-12,12511,84.0
682416,2020-08-13,12592,81.0
685758,2020-08-14,12693,101.0
689100,2020-08-15,12815,122.0
692442,2020-08-16,12892,77.0
695784,2020-08-17,13032,140.0
699126,2020-08-18,13151,119.0
702468,2020-08-19,13289,138.0
705810,2020-08-20,13410,121.0
709152,2020-08-21,13530,120.0
712494,2020-08-22,13686,156.0
715836,2020-08-23,13778,92.0
719178,2020-08-24,13909,131.0
722520,2020-08-25,14001,92.0
725862,2020-08-26,14103,102.0
729204,2020-08-27,14200,97.0
732546,2020-08-28,14299,99.0
735888,2020-08-29,14398,99.0
739230,2020-08-30,14493,95.0
742572,2020-08-31,14615,122.0
