,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
84828,2021-10-15,17043,41,DuPage County,IL,62.0,572535,570880.0,72.3,525643,73.5,128354,86.1,97.8,712241.0,77.2,709543.0,89.9,650747.0,91.0,155322.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
87657,2021-10-14,17043,41,DuPage County,IL,62.0,572526,570871.0,72.3,525634,73.5,128351,86.1,97.8,712209.0,77.2,709511.0,89.9,650716.0,91.0,155312.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
91138,2021-10-13,17043,41,DuPage County,IL,62.0,572519,570864.0,72.3,525627,73.5,128350,86.1,97.8,712182.0,77.2,709484.0,89.9,650689.0,91.0,155304.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
92311,2021-10-12,17043,41,DuPage County,IL,62.0,572514,570859.0,72.3,525622,73.5,128350,86.1,97.8,712164.0,77.2,709466.0,89.9,650671.0,91.0,155299.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
95836,2021-10-11,17043,41,DuPage County,IL,62.0,572183,570528.0,72.3,525343,73.4,128301,86.1,97.8,711813.0,77.1,709115.0,89.9,650359.0,90.9,155209.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
99423,2021-10-10,17043,41,DuPage County,IL,62.0,571801,570146.0,72.2,525000,73.4,128234,86.1,97.8,711276.0,77.1,708578.0,89.8,649860.0,90.8,155029.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
103682,2021-10-09,17043,40,DuPage County,IL,61.9,571316,569661.0,72.2,524552,73.3,128138,86.0,97.8,710641.0,77.0,707943.0,89.7,649274.0,90.8,154847.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
106190,2021-10-08,17043,40,DuPage County,IL,61.8,570804,569149.0,72.1,524079,73.3,128030,85.9,97.8,709991.0,76.9,707293.0,89.6,648667.0,90.7,154587.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
110297,2021-10-07,17043,40,DuPage County,IL,61.7,569443,567788.0,71.9,522807,73.1,127827,85.8,97.8,708229.0,76.7,705531.0,89.4,646989.0,90.4,154180.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
113988,2021-10-06,17043,40,DuPage County,IL,61.6,568894,567239.0,71.9,522309,73.0,127705,85.7,97.8,707717.0,76.7,705020.0,89.3,646513.0,90.4,154003.0,99.9,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0
